player_id,position,error,rnge,throw,passedball,pickoff,hold,wp,balk,bfsp,bfrp,rest0,rest1,rest2,rest3
1,1b,7,d,,,,,,,,,,,,
2,cf,9,g,0,,,,,,,,,,,
2,lf,5,k,0,,,,,,,,,,,
2,rf,5,c,0,,,,,,,,,,,
2,lf/rf,9,f,0,,,,,,,,,,,
3,cf,8,h,-2,,,,,,,,,,,
3,lf/rf,8,g,-2,,,,,,,,,,,
4,rf,7,f,2,,,,,,,,,,,
4,lf,9,c,2,,,,,,,,,,,
4,lf/rf,9,d,2,,,,,,,,,,,
5,2b,6,g,,,,,,,,,,,,
5,lf,0,k,3,,,,,,,,,,,
5,lf/rf,0,k,3,,,,,,,,,,,
6,3b,8,f,,,,,,,,,,,,
7,c,1,f,0,fr,0,,,,,,,,,
8,ss,6,I,,,,,,,,,,,,
9,,9,h,,,1,Av_-4,unlikely,rare,28,18,,8,12,16
10,,6,I,,,1,Av_2,prone,rare,,7,8,11,14,16
11,,0,f,,,1,Fr_3,prone*,rare,,6,6,8,10,12
