player_id,vs_hand,min,max,play,field,fatigue
1,r,0,10,wild,,0
1,r,11,67,error,,0
1,r,68,82,l,2b,0
1,r,83,97,park,,0
1,r,,,1b,inf,0
1,r,98,120,1b,gcf,0
1,r,121,121,3b,rcf,0
1,r,122,139,hg-,2b,0
1,r,140,151,hg,ss,0
1,r,152,157,hg,1b,0
1,r,158,163,2b,rcf,0
1,r,164,207,1b,llf,0
1,r,208,251,1b,lrf,0
1,r,252,266,rg,1b,0
1,r,267,278,hf,rf,0
1,r,279,298,hr,,0
1,r,299,302,hb,,0
1,r,303,350,bb,,0
1,r,351,444,so,,0
1,r,445,446,3b,cfw,0
1,r,447,452,2b,rfl,0
1,r,453,459,2b,rfw,0
1,r,460,477,rg+,2b,0
1,r,478,492,hf,cf,0
1,r,493,499,p,2b,0
1,l,0,10,wild,,0
1,l,11,67,error,,0
1,l,68,82,l,2b,0
1,l,83,97,park,,0
1,l,98,100,1b,inf,0
1,l,101,122,1b,gcf,0
1,l,,,3b,rcf,0
1,l,123,147,hg-,2b,0
1,l,148,164,hg,ss,0
1,l,165,173,hg,1b,0
1,l,174,177,2b,rcf,0
1,l,178,222,1b,llf,0
1,l,223,267,1b,lrf,0
1,l,268,285,rg,1b,0
1,l,286,292,hf,rf,0
1,l,293,307,hr,,0
1,l,308,321,hb,,0
1,l,322,364,bb,,0
1,l,365,454,so,,0
1,l,,,3b,cfw,0
1,l,455,458,2b,rfl,0
1,l,459,463,2b,rfw,0
1,l,464,486,rg+,2b,0
1,l,487,495,hf,cf,0
1,l,496,499,p,2b,0
2,r,0,10,wild,,
2,r,11,67,error,,
2,r,68,82,l,,
2,r,83,97,park,,
2,r,,,1b,inf,
2,r,98,103,1b,gcf,
2,r,104,107,3b,rcf,
2,r,,,hg-,2b,
2,r,,,hg,ss,
2,r,,,hg,1b,
2,r,108,116,2b,rcf,
2,r,117,129,1b,llf,
2,r,130,142,1b,lrf,
2,r,143,163,rg,1b,
2,r,164,180,hf,cf,
2,r,181,190,hr,,
2,r,,,hb,,
2,r,191,258,bb,,
2,r,259,420,so,,
2,r,421,424,3b,cfw,
2,r,425,433,2b,rfl,
2,r,434,442,2b,rfw,
