location_id,month,precip,min,max
4,april,thunderstorms,0,10
4,april,showers,11,40
4,april,snow,41,46
4,april,fog,47,54
4,april,none,55,99
4,may,thunderstorms,0,14
4,may,showers,15,41
4,may,snow,,
4,may,fog,42,46
4,may,none,47,99
4,june,thunderstorms,0,20
4,june,showers,21,37
4,june,snow,,
4,june,fog,38,42
4,june,none,43,99
4,july,thunderstorms,0,21
4,july,showers,22,31
4,july,snow,,
4,july,fog,32,36
4,july,none,37,99
4,august,thunderstorms,0,16
4,august,showers,17,28
4,august,snow,,
4,august,fog,29,34
4,august,none,35,99
4,september,thunderstorms,0,10
4,september,showers,11,30
4,september,snow,,
4,september,fog,31,35
4,september,none,36,99
4,october,thunderstorms,0,3
4,october,showers,4,30
4,october,snow,,
4,october,fog,31,36
4,october,none,37,99
